outlook,temperature,humidity,windy,play
sunny,hot,high,FALSE,no
sunny,hot,high,TRUE,no
overcast,hot,high,FALSE,yes
rainy,mild,high,FALSE,yes
rainy,cool,normal,FALSE,yes
rainy,cool,normal,TRUE,no
overcast,cool,normal,TRUE,no
sunny,mild,high,FALSE,no
sunny,cool,normal,FALSE,yes
rainy,mild,normal,FALSE,yes
sunny,mild,normal,TRUE,no
overcast,mild,high,TRUE,yes
overcast,mild,normal,FALSE,yes
rainy,mild,high,TRUE,no
rainy,mild,high,FALSE,yes
rainy,cool,normal,FALSE,yes
rainy,cool,normal,TRUE,no
overcast,mild,normal,TRUE,yes
sunny,mild,normal,FALSE,no
sunny,cool,normal,FALSE,no
rainy,mild,normal,FALSE,yes
sunny,mild,normal,TRUE,yes
overcast,mild,high,TRUE,yes
overcast,hot,high,FALSE,yes
rainy,cool,high,TRUE,no
sunny,hot,high,TRUE,no
overcast,hot,high,FALSE,yes
rainy,cool,high,FALSE,yes
sunny,hot,high,FALSE,yes
rainy,mild,high,FALSE,yes
sunny,cool,normal,FALSE,yes
rainy,cool,normal,TRUE,no
sunny,cool,high,TRUE,no
overcast,mild,high,FALSE,no
overcast,cool,normal,FALSE,yes
